tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
CF-67a	CF-67a		This study	LP-NOMAG		
CF-68a	CF-68a		This study	LP-NOMAG		
CF-69a	CF-69a		This study	LP-NOMAG		
CF-70a	CF-70a		This study	LP-NOMAG		
CF-71a	CF-71a		This study	LP-NOMAG		
CF-72a	CF-72a		This study	LP-NOMAG		
CF-73a	CF-73a		This study	LP-NOMAG		
CF-74a	CF-74a		This study	LP-NOMAG		
CF-75a	CF-75a		This study	LP-NOMAG		
CF-76a	CF-76a		This study	LP-NOMAG		
CF-77a	CF-77a		This study	LP-NOMAG		
CF-78a	CF-78a		This study	LP-NOMAG		
CF-79a	CF-79a		This study	LP-NOMAG		
CF-80a	CF-80a		This study	LP-NOMAG		
CF-81a	CF-81a		This study	LP-NOMAG		
CF-82a	CF-82a		This study	LP-NOMAG		
CF-84a	CF-84a		This study	LP-NOMAG		
CF-85a	CF-85a		This study	LP-NOMAG		
CF-86a	CF-86a		This study	LP-NOMAG		
CF-87a	CF-87a		This study	LP-NOMAG		
CF-88a	CF-88a		This study	LP-NOMAG		
CF-89a	CF-89a		This study	LP-NOMAG		
CF-90a	CF-90a		This study	LP-NOMAG		
CF-91a	CF-91a		This study	LP-NOMAG		
CF-92a	CF-92a		This study	LP-NOMAG		
CF-93a	CF-93a		This study	LP-NOMAG		
CF-94a	CF-94a		This study	LP-NOMAG		
CF-96a	CF-96a		This study	LP-NOMAG		
CF-97a	CF-97a		This study	LP-NOMAG		
CF-98a	CF-98a		This study	LP-NOMAG		
CF-99a	CF-99a		This study	LP-NOMAG		
CF-101a	CF-101a		This study	LP-NOMAG		
CF-102a	CF-102a		This study	LP-NOMAG		
CF-103a	CF-103a		This study	LP-NOMAG		
CF-105a	CF-105a		This study	LP-NOMAG		
CF-106a	CF-106a		This study	LP-NOMAG		
CF-107a	CF-107a		This study	LP-NOMAG		
CF-108a	CF-108a		This study	LP-NOMAG		
CF-109a	CF-109a		This study	LP-NOMAG		
CF-110a	CF-110a		This study	LP-NOMAG		
CF-111a	CF-111a		This study	LP-NOMAG		
CF-112a	CF-112a		This study	LP-NOMAG		
CF-113a	CF-113a		This study	LP-NOMAG		
CF-114a	CF-114a		This study	LP-NOMAG		
CF-115a	CF-115a		This study	LP-NOMAG		
CF-116a	CF-116a		This study	LP-NOMAG		
CF-117a	CF-117a		This study	LP-NOMAG		
CF-118a	CF-118a		This study	LP-NOMAG		
CF-119a	CF-119a		This study	LP-NOMAG		
CF-120a	CF-120a		This study	LP-NOMAG		
CF-121a	CF-121a		This study	LP-NOMAG		
CF-122a	CF-122a		This study	LP-NOMAG		
CF-123a	CF-123a		This study	LP-NOMAG		
CF-124a	CF-124a		This study	LP-NOMAG		
CF-125a	CF-125a		This study	LP-NOMAG		
CF-126a	CF-126a		This study	LP-NOMAG		
CF-127a	CF-127a		This study	LP-NOMAG		
CF-128a	CF-128a		This study	LP-NOMAG		
CF-129a	CF-129a		This study	LP-NOMAG		
CF-130a	CF-130a		This study	LP-NOMAG		
CF-131a	CF-131a		This study	LP-NOMAG		
CF-132a	CF-132a		This study	LP-NOMAG		
CF-133a	CF-133a		This study	LP-NOMAG		
CF-134a	CF-134a		This study	LP-NOMAG		
CF-135a	CF-135a		This study	LP-NOMAG		
CF-136a	CF-136a		This study	LP-NOMAG		
CF-137a	CF-137a		This study	LP-NOMAG		
CF-138a	CF-138a		This study	LP-NOMAG		
CF-139a	CF-139a		This study	LP-NOMAG		
CF-140a	CF-140a		This study	LP-NOMAG		
CF-141a	CF-141a		This study	LP-NOMAG		
CF-142a	CF-142a		This study	LP-NOMAG		
CF-143a	CF-143a		This study	LP-NOMAG		
CF-144a	CF-144a		This study	LP-NOMAG		
CF-145a	CF-145a		This study	LP-NOMAG		
CF-146a	CF-146a		This study	LP-NOMAG		
CF-147a	CF-147a		This study	LP-NOMAG		
CF-148a	CF-148a		This study	LP-NOMAG		
CF-149a	CF-149a		This study	LP-NOMAG		
CF-150a	CF-150a		This study	LP-NOMAG		
CF-151a	CF-151a		This study	LP-NOMAG		
CF-152a	CF-152a		This study	LP-NOMAG		
CF-153a	CF-153a		This study	LP-NOMAG		
CF-154a	CF-154a		This study	LP-NOMAG		
CF-155a	CF-155a		This study	LP-NOMAG		
CF-156a	CF-156a		This study	LP-NOMAG		
CF-157a	CF-157a		This study	LP-NOMAG		
CF-158a	CF-158a		This study	LP-NOMAG		
CF-159a	CF-159a		This study	LP-NOMAG		
CF-160a	CF-160a		This study	LP-NOMAG		
CF-161a	CF-161a		This study	LP-NOMAG		
CF-162a	CF-162a		This study	LP-NOMAG		
CF-163a	CF-163a		This study	LP-NOMAG		
CF-164a	CF-164a		This study	LP-NOMAG		
CF-165a	CF-165a		This study	LP-NOMAG		
CF-166a	CF-166a		This study	LP-NOMAG		
CF-167a	CF-167a		This study	LP-NOMAG		
CF-168a	CF-168a		This study	LP-NOMAG		
CF-169a	CF-169a		This study	LP-NOMAG		
CF-170a	CF-170a		This study	LP-NOMAG		
CF-172a	CF-172a		This study	LP-NOMAG		
CF-173a	CF-173a		This study	LP-NOMAG		
CF-174a	CF-174a		This study	LP-NOMAG		
CF-175a	CF-175a		This study	LP-NOMAG		
CF-176a	CF-176a		This study	LP-NOMAG		
CF-177a	CF-177a		This study	LP-NOMAG		
CF-178a	CF-178a		This study	LP-NOMAG		
CF-179a	CF-179a		This study	LP-NOMAG		
CF-180a	CF-180a		This study	LP-NOMAG		
CF-181a	CF-181a		This study	LP-NOMAG		
CF-182a	CF-182a		This study	LP-NOMAG		
CF-183a	CF-183a		This study	LP-NOMAG		
CF-185a	CF-185a		This study	LP-NOMAG		
CF-186a	CF-186a		This study	LP-NOMAG		
