tab	specimens																											
specimen	primary_grain_size	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site	strat_level	grain_size
CF-102a	1	CF-102a_LP-DIR-T	CF-102		mt	136.3	61.6	3	9	-1	3.4	6.6	893	773	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	47.8	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		lt	160.7	17.3	3	3	-1	35	3.5	473	273	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	47.8	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		mt	294.4	41.3	3	9	0	3.4	6.6	893	773	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	47.8	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		mt	286.4	46.9	3	9	100	3.4	6.6	893	773	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	47.8	silt
CF-102a	1		CF-102													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	47.8	silt
CF-102a	1	CF-102a_LP-DIR-T	CF-102		ht	206	83.3	3	6	-1	0	19.5	955	945	K		hargrave 2021-02-13 18:58:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	47.8	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		mt	300.3	44.7	3	9	0	6.9	6.9	873	723	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		ht	279.2	24.1	3	9	100	0	13.2	957	937	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		ht	282.9	19.9	3	9	0	0	13.2	957	937	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		lt	35.6	62.5	3	3	100	38	3.8	473	273	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		mt	291.7	51.1	3	9	100	6.9	6.9	873	723	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		mt	145.8	51.1	3	9	-1	6.9	6.9	873	723	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		lt	24.2	55.2	3	3	0	38	3.8	473	273	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		ht	114.5	77.2	3	9	-1	0	13.2	957	937	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	48.4	silt
CF-103a	1		CF-103													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	48.4	silt
CF-103a	1	CF-103a_LP-DIR-T	CF-103		lt	148.5	-0.5	3	3	-1	38	3.8	473	273	K		hargrave 2021-02-13 18:59:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	48.4	silt
CF-104a	1	CF-104a_LP-DIR-T	CF-104		mt	289.3	48	2	9	100	5.9	8.6	873	723	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	48.9	silt
CF-104a	1		CF-104													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	48.9	silt
CF-104a	1	CF-104a_LP-DIR-T	CF-104		ht	125.1	44.3	2	7	-1	0	10.5	953	913	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	48.9	silt
CF-104a	1	CF-104a_LP-DIR-T	CF-104		mt	153.8	45.2	2	9	-1	5.9	8.6	873	723	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	48.9	silt
CF-104a	1	CF-104a_LP-DIR-T	CF-104		ht	313.4	26.6	2	7	0	0	10.5	953	913	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	48.9	silt
CF-104a	1	CF-104a_LP-DIR-T	CF-104		mt	297.3	42	2	9	0	5.9	8.6	873	723	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	48.9	silt
CF-104a	1	CF-104a_LP-DIR-T	CF-104		ht	310	34.8	2	7	100	0	10.5	953	913	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	48.9	silt
CF-105a	3	CF-105a_LP-DIR-T	CF-105		mt	308.6	47.4	2	9	0	11.4	9.4	873	723	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	48.95	fine
CF-105a	3	CF-105a_LP-DIR-T	CF-105		lt	38.9	69.7	2	3	100	27.9	6.1	473	273	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	48.95	fine
CF-105a	3	CF-105a_LP-DIR-T	CF-105		mt	300.3	54.9	2	9	100	11.4	9.4	873	723	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	48.95	fine
CF-105a	3	CF-105a_LP-DIR-T	CF-105		lt	23	62.5	2	3	0	27.9	6.1	473	273	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	48.95	fine
CF-105a	3	CF-105a_LP-DIR-T	CF-105		mt	145.5	39.6	2	9	-1	11.4	9.4	873	723	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	48.95	fine
CF-105a	3	CF-105a_LP-DIR-T	CF-105		lt	155.2	-2	2	3	-1	27.9	6.1	473	273	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	48.95	fine
CF-105a	3		CF-105													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	48.95	fine
CF-106a	1	CF-106a_LP-DIR-T	CF-106		ht	121.5	54.8	2	10	-1	0	8.9	960	937	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	49.3	silt
CF-106a	1	CF-106a_LP-DIR-T	CF-106		mt	161.1	46.3	2	11	-1	11	10.8	893	723	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	49.3	silt
CF-106a	1	CF-106a_LP-DIR-T	CF-106		ht	299.5	21.8	2	10	0	0	8.9	960	937	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	49.3	silt
CF-106a	1	CF-106a_LP-DIR-T	CF-106		mt	286.1	45.6	2	11	0	11	10.8	893	723	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	49.3	silt
CF-106a	1	CF-106a_LP-DIR-T	CF-106		ht	295.9	28.4	2	10	100	0	8.9	960	937	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	49.3	silt
CF-106a	1	CF-106a_LP-DIR-T	CF-106		mt	276.1	49.8	2	11	100	11	10.8	893	723	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	49.3	silt
CF-106a	1		CF-106													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	49.3	silt
CF-107a	2	CF-107a_LP-DIR-T	CF-107		mt	296.3	48.1	3	9	0	6.9	6.5	873	723	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		mt	286.1	53.8	3	9	100	6.9	6.5	873	723	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		lt	19.7	85	3	3	100	28.4	6.1	573	373	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		ht	276.5	43.3	3	10	100	0	9.4	960	937	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		lt	357.6	75.5	3	3	0	28.4	6.1	573	373	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2		CF-107													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		mt	173.3	47.5	3	9	-1	6.9	6.5	873	723	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		lt	166.3	11.2	3	3	-1	28.4	6.1	573	373	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		ht	187	56.4	3	10	-1	0	9.4	960	937	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	49.8	very fine
CF-107a	2	CF-107a_LP-DIR-T	CF-107		ht	284.5	39.3	3	10	0	0	9.4	960	937	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	49.8	very fine
CF-108a	1	CF-108a_LP-DIR-T	CF-108		ht	133.7	63.8	2	9	-1	0	2.5	957	937	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	50.4	silt
CF-108a	1	CF-108a_LP-DIR-T	CF-108		mt	141.3	61.2	2	12	-1	4.7	6.2	903	723	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	50.4	silt
CF-108a	1	CF-108a_LP-DIR-T	CF-108		ht	283.5	27.1	2	9	0	0	2.5	957	937	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	50.4	silt
CF-108a	1	CF-108a_LP-DIR-T	CF-108		mt	283.1	31.5	2	12	0	4.7	6.2	903	723	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	50.4	silt
CF-108a	1	CF-108a_LP-DIR-T	CF-108		ht	278.4	31.3	2	9	100	0	2.5	957	937	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	50.4	silt
CF-108a	1	CF-108a_LP-DIR-T	CF-108		mt	277.1	35.5	2	12	100	4.7	6.2	903	723	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	50.4	silt
CF-108a	1		CF-108													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	50.4	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		mt	278.2	43.9	3	8	100	7.4	3.6	873	773	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		lt	51.7	79.9	3	3	100	33.9	6.2	473	273	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		ht	277.1	29.2	3	10	100	0	7.1	955	923	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		mt	286.3	39.6	3	8	0	7.4	3.6	873	773	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		lt	163.1	5.5	3	3	-1	33.9	6.2	473	273	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		ht	281.8	25.3	3	10	0	0	7.1	955	923	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		mt	192	53.5	3	8	-1	7.4	3.6	873	773	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		ht	210.3	65	3	10	-1	0	7.1	955	923	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	50.8	silt
CF-109a	1		CF-109													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	50.8	silt
CF-109a	1	CF-109a_LP-DIR-T	CF-109		lt	19.7	73.1	3	3	0	33.9	6.2	473	273	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	50.8	silt
CF-10a	2	CF-10a_LP-DIR-T	CF-10		ht	165.9	-57.2	3	7	-1	0	7.5	954	937	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		lt	199.9	4.7	3	3	-1	27.2	5.3	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		ht	279.3	21.8	3	7	0	0	7.5	954	937	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		lt	3.9	69.6	3	3	0	27.2	5.3	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2		CF-10													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		mt	192.4	-45.8	3	8	-1	6.6	10.1	873	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		lt	18.7	78.7	3	3	100	27.2	5.3	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		mt	292	39.3	3	8	100	6.6	10.1	873	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		ht	275.2	25.3	3	7	100	0	7.5	954	937	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	5.8	very fine
CF-10a	2	CF-10a_LP-DIR-T	CF-10		mt	297.8	33.1	3	8	0	6.6	10.1	873	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	5.8	very fine
CF-110a	1		CF-110													James Pierce				This study	LP-NOMAG				Cut Face Creek	CF	51.7	silt
CF-110a	1	CF-110a_LP-DIR-T	CF-110		mt	289.5	32.1	2	9	100	5.8	5	873	723	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	51.7	silt
CF-110a	1	CF-110a_LP-DIR-T	CF-110		ht	125.9	63.2	2	8	-1	0	6.5	960	945	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	51.7	silt
CF-110a	1	CF-110a_LP-DIR-T	CF-110		mt	142.7	58.7	2	9	-1	5.8	5	873	723	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Cut Face Creek	CF	51.7	silt
CF-110a	1	CF-110a_LP-DIR-T	CF-110		ht	296	17.2	2	8	0	0	6.5	960	945	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF	51.7	silt
CF-110a	1	CF-110a_LP-DIR-T	CF-110		mt	294.1	26.3	2	9	0	5.8	5	873	723	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Cut Face Creek	CF	51.7	silt
CF-110a	1	CF-110a_LP-DIR-T	CF-110		ht	293.1	23.3	2	8	100	0	6.5	960	945	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	51.7	silt
CF-111a	1	CF-111a_LP-DIR-T	CF-111		ht	153.7	56.4	2	7	-1	0	3.7	955	941	K		hargrave 2021-02-13 09:51:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF	51.8	silt
