tab	specimens																									
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site	strat_level
CF-36a	CF-36a_LP-DIR-T	CF-36		ht	291.5	27.4	3	11	100	0	3.3	954	937	K		hargrave 2020-11-24 22:07:23	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	19.6
CF-38a	CF-38a_LP-DIR-T	CF-38		ht	285.6	27.4	3	12	100	0	3.1	954	923	K		hargrave 2020-11-24 22:10:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	20.2
CF-39a	CF-39a_LP-DIR-T	CF-39		ht	286.4	19	3	11	100	0	2.6	954	937	K		hargrave 2020-11-24 22:14:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	20.3
CF-3a	CF-3a_LP-DIR-T	CF-3		ht	289	20.3	3	8	100	0	7.6	951	937	K		hargrave 2020-11-24 21:38:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	1.8
CF-40a	CF-40a_LP-DIR-T	CF-40		ht	273.3	21.8	3	8	100	0	3.1	955	948	K		hargrave 2020-11-25 22:26:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	20.5
CF-41a	CF-41a_LP-DIR-T	CF-41		ht	284.1	27.2	2	13	100	0	4.3	955	933	K		hargrave 2020-11-25 22:27:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	20.6
CF-43a	CF-43a_LP-DIR-T	CF-43		ht	288	19.3	3	6	100	0	1.3	952	947	K		hargrave 2020-11-22 11:44:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	20.9
CF-45a	CF-45a_LP-DIR-T	CF-45		ht	283	7.6	3	13	100	0	2.8	955	937	K		hargrave 2020-11-25 22:30:52	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	21.7
CF-46a	CF-46a_LP-DIR-T	CF-46		ht	284.7	18.4	2	10	100	0	2	955	945	K		hargrave 2020-11-25 22:32:29	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	22.2
CF-47a	CF-47a_LP-DIR-T	CF-47		ht	286.6	21	3	13	100	0	2.5	955	933	K		hargrave 2020-11-25 22:34:04	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	22.3
CF-48a	CF-48a_LP-DIR-T	CF-48		ht	283.5	11.3	2	13	100	0	2.2	955	933	K		hargrave 2020-11-25 22:35:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	22.4
CF-49a	CF-49a_LP-DIR-T	CF-49		ht	292.8	13.5	3	10	100	0	1.6	955	945	K		hargrave 2020-11-26 19:15:19	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	22.8
CF-4a	CF-4a_LP-DIR-T	CF-4		ht	271.3	25.8	3	8	100	0	8.7	953	923	K		hargrave 2020-11-22 16:08:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	2.2
CF-50a	CF-50a_LP-DIR-T	CF-50		ht	294.6	11.9	3	9	100	0	1.8	955	947	K		hargrave 2020-11-26 19:16:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	23.1
CF-51a	CF-51a_LP-DIR-T	CF-51		ht	301.4	14.3	2	13	100	0	2	955	933	K		hargrave 2020-11-26 19:18:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	23.4
CF-52a	CF-52a_LP-DIR-T	CF-52		ht	286.3	33.8	3	8	100	0	1.4	953	945	K		hargrave 2020-11-22 17:30:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	24.6
CF-53a	CF-53a_LP-DIR-T	CF-53		ht	298.6	34.4	3	5	100	0	3.3	949	937	K		hargrave 2021-01-02 09:58:14	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	25
CF-54a	CF-54a_LP-DIR-T	CF-54		ht	262	33.7	2	5	100	0	2.3	955	941	K		hargrave 2021-01-03 14:36:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	25.4
CF-56a	CF-56a_LP-DIR-T	CF-56		ht	271.2	22.7	3	8	100	0	2.7	955	937	K		hargrave 2021-01-03 13:17:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	26.3
CF-57a	CF-57a_LP-DIR-T	CF-57		ht	245.5	20.1	2	10	100	0	4.9	958	933	K		hargrave 2021-01-03 20:24:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	26.9
CF-58a	CF-58a_LP-DIR-T	CF-58		ht	264.8	13.1	2	6	100	8.9	14.9	958	947	K		hargrave 2021-01-03 19:39:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	27.2
CF-59a	CF-59a_LP-DIR-T	CF-59		ht	286.7	18.2	2	11	100	0	5	958	923	K		hargrave 2021-01-03 19:40:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	27.7
CF-60a	CF-60a_LP-DIR-T	CF-60		ht	302.2	32.2	3	11	100	0	5.9	958	923	K		hargrave 2021-01-03 19:42:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	28.3
CF-61a	CF-61a_LP-DIR-T	CF-61		ht	292.2	35.6	3	11	100	0	8.3	958	933	K		hargrave 2021-01-03 19:43:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	28.5
CF-62a	CF-62a_LP-DIR-T	CF-62		ht	301.9	43.2	3	10	100	0	2.6	958	923	K		hargrave 2021-01-03 19:44:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	28.9
CF-63a	CF-63a_LP-DIR-T	CF-63		ht	259.5	47.6	3	7	100	0	9.8	949	923	K		hargrave 2021-01-01 14:01:52	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	29.3
CF-64a	CF-64a_LP-DIR-T	CF-64		ht	288.5	21	2	5	100	0	8.6	945	923	K		hargrave 2020-12-29 12:32:21	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	30
CF-65a	CF-65a_LP-DIR-T	CF-65		ht	279.7	37.9	3	10	100	0	6.1	958	933	K		hargrave 2021-01-03 19:45:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	30.3
CF-66a	CF-66a_LP-DIR-T	CF-66		ht	284.7	30.5	3	8	100	0	5.9	949	913	K		hargrave 2021-01-03 13:30:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	30.6
CF-67a	CF-67a_LP-DIR-T	CF-67		ht	292.2	36.6	2	8	100	0	6.9	951	923	K		hargrave 2021-01-03 19:46:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	31
CF-68a	CF-68a_LP-DIR-T	CF-68		ht	285.6	32.6	3	10	100	0	8	958	937	K		hargrave 2021-01-03 19:48:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	31.3
CF-69a	CF-69a_LP-DIR-T	CF-69		ht	298.4	48.8	2	9	100	0	11.1	955	933	K		hargrave 2021-01-03 13:36:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	31.9
CF-6a	CF-6a_LP-DIR-T	CF-6		ht	248.8	40.7	3	6	100	0	13.6	953	937	K		hargrave 2020-11-22 16:11:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	3.3
CF-72a	CF-72a_LP-DIR-T	CF-72		ht	290.5	26.7	2	8	100	0	4.2	958	941	K		hargrave 2021-01-03 19:52:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	32.9
CF-73a	CF-73a_LP-DIR-T	CF-73		ht	274	25.4	3	7	100	0	5	958	945	K		hargrave 2021-01-03 19:54:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	33.3
CF-74a	CF-74a_LP-DIR-T	CF-74		ht	284	31.1	3	11	100	0	4.6	958	933	K		hargrave 2021-01-03 19:55:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	33.7
CF-75a	CF-75a_LP-DIR-T	CF-75		ht	279	34	3	9	100	0	4.5	953	923	K		hargrave 2021-01-03 14:39:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	33.9
CF-76a	CF-76a_LP-DIR-T	CF-76		ht	279.4	32.4	2	6	100	0	4.8	947	923	K		hargrave 2020-12-29 20:09:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	34.2
CF-77a	CF-77a_LP-DIR-T	CF-77		ht	291.8	34.5	3	10	100	0	5	955	923	K		hargrave 2021-01-03 13:48:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	34.6
CF-78a	CF-78a_LP-DIR-T	CF-78		ht	280.6	21	2	11	100	0	2.7	958	923	K		hargrave 2021-01-03 19:56:45	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	35
CF-7a	CF-7a_LP-DIR-T	CF-7		ht	263.8	12.9	3	5	100	45.4	23.6	945	923	K		hargrave 2020-11-22 16:12:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Cut Face Creek	CF	3.7
CF-80a	CF-80a_LP-DIR-T	CF-80		ht	293.8	34.2	3	12	100	0	8.9	958	933	K		hargrave 2021-01-03 19:58:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	35.6
CF-81a	CF-81a_LP-DIR-T	CF-81		ht	290.6	32.8	3	9	100	0	2.5	958	937	K		hargrave 2021-01-03 19:59:12	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	36
CF-82a	CF-82a_LP-DIR-T	CF-82		ht	299.6	40.4	3	6	100	0	7.6	949	913	K		hargrave 2021-01-01 14:59:38	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	36.6
CF-83a	CF-83a_LP-DIR-T	CF-83		ht	294.6	36.1	2	5	100	0	9.3	937	903	K		hargrave 2020-12-20 14:11:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	37.1
CF-85a	CF-85a_LP-DIR-T	CF-85		ht	281.4	33.3	3	11	100	0	5.1	958	923	K		hargrave 2021-01-03 20:00:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	37.6
CF-86a	CF-86a_LP-DIR-T	CF-86		ht	284.8	40.2	3	10	100	0	3.6	955	923	K		hargrave 2021-01-03 20:01:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	37.9
CF-87a	CF-87a_LP-DIR-T	CF-87		ht	289.5	44.9	3	11	100	0	11.9	958	923	K		hargrave 2021-01-03 20:03:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	38.1
CF-88a	CF-88a_LP-DIR-T	CF-88		ht	288.2	36.1	3	7	100	0	3.8	953	937	K		hargrave 2021-01-02 16:36:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	38.4
CF-8a	CF-8a_LP-DIR-T	CF-8		ht	273	25.9	3	8	100	0	8.2	954	933	K		hargrave 2020-11-24 21:40:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	4.1
CF-90a	CF-90a_LP-DIR-T	CF-90		ht	282.4	34.4	2	7	100	0	11	958	945	K		hargrave 2021-01-03 20:05:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	41.8
CF-91a	CF-91a_LP-DIR-T	CF-91		ht	285.9	29.1	3	6	100	0	4.3	958	947	K		hargrave 2021-01-03 20:06:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	42.2
CF-92a	CF-92a_LP-DIR-T	CF-92		ht	272.5	44.2	3	8	100	0	5.5	958	937	K		hargrave 2021-01-03 20:08:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	42.4
CF-93a	CF-93a_LP-DIR-T	CF-93		ht	290.3	20.1	3	7	100	0	6.4	958	945	K		hargrave 2021-01-03 20:09:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	43.7
CF-94a	CF-94a_LP-DIR-T	CF-94		ht	289	33.7	3	9	100	0	7.6	958	937	K		hargrave 2021-01-03 20:10:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	43.75
CF-96a	CF-96a_LP-DIR-T	CF-96		ht	279.3	32.2	2	7	100	0	2.5	958	945	K		hargrave 2021-01-03 20:12:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	43.85
CF-97a	CF-97a_LP-DIR-T	CF-97		ht	288.2	20.4	2	9	100	0	1.5	958	937	K		hargrave 2021-01-03 20:13:38	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	45.8
CF-98a	CF-98a_LP-DIR-T	CF-98		ht	297.6	32.4	3	6	100	0	3.7	958	947	K		hargrave 2021-01-03 20:14:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	46.2
CF-99a	CF-99a_LP-DIR-T	CF-99		ht	293.2	37.3	2	6	100	0	15.5	955	945	K		hargrave 2021-02-12 14:09:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	46.6
CF-9a	CF-9a_LP-DIR-T	CF-9		ht	274.5	31.1	3	8	100	0	12.6	954	941	K		hargrave 2020-11-24 21:42:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF	5.4
