sample,#,depth,Dg,Ig,Ds,Is,Lat,Lon
G1149,193,2884.6,11.3,60.1,56.2,36.2,38.7,186.3
G1148,194,2882.6,4.4,34.9,29.7,24.5,57.2,215.1
G1147,195,2880.6,355.9,20,12.4,20,66.5,246.4
G1146,196,2878.6,10.8,32.4,31.6,18.9,53.8,217.2
G1145,197,2876.6,13.8,31.4,32.8,16.4,52.1,217.7
G1144,198,2874.6,3.9,29.8,25.3,21.4,59.3,223
G1143,199,2872.6,350.1,23.1,10.7,25.9,70.2,246.2
G1142,200,2870.6,356.4,39.3,28.9,32.2,60.6,208.6
G1141,201,2868.6,17.1,36.4,38.5,18.1,48.2,211
G1140,202,2866.6,49.8,61.1,72.4,23.8,21.3,186.2
G1138,203,2862.6,355.7,37.2,26.6,31.4,62.1,212
G1137-1,204,2860.6,16,37.5,38.6,19.5,48.6,210
G1136,205,2858.6,19.1,41.3,43.2,20.5,45.2,205.6
G1135,206,2856.6,14.4,45.8,44.2,26,46,201.1
G1134,207,2854.6,330.5,77.7,77,52.6,26.3,163.7
G1133,208,2852.6,12.2,44.6,42.2,26.4,47.8,202.2
G1132,209,2850.6,353.7,7.8,1.8,12.7,65.5,274
G1131-1,210,2848.6,26.7,51.5,55.1,24.1,36.2,195.3
G1130,211,2846.6,351,37.2,24,34.3,65.2,211.7
G1129,212,2844.6,9.9,60.1,55.7,36.8,39.3,186.1
G1128,213,2842.6,20.7,19.9,29.5,3.7,49.8,228.7
G1127,214,2840.6,356.6,1.4,0.2,8.9,63.6,277.9
G1126,215,2838.6,5.1,2,7.2,4,60.4,263.6
G1125,216,2836.6,356.9,5.8,3.2,12.1,65.1,270.7
G1124,217,2834.6,12.2,32.5,33,22.8,54.1,212.9
G1123,218,2832.6,20.9,32.1,38.6,17.6,48,211.3
G1122,219,2830.6,355.4,23.4,14.3,26.4,68.6,237.3
G1121,220,2829.3,355.3,23.5,14.3,26.5,68.6,237.2
G1120,221,2827.8,33,61.8,67.5,34.3,28.5,182.3
G1119,222,2825.8,29.8,41.2,50.4,20.1,39.1,200.7
G1118,223,2823.8,18.2,44.1,45.6,27.9,45.4,198.7
G1117,224,2821.8,74.8,58,85.6,20.8,9.2,181.2
G1116,225,2819.8,299.8,84.7,95.6,55.9,13.7,153.8
G1115,226,2817.5,112.8,64,105.6,25.5,-6.1,168.7
G1112,227,2811.8,192.3,43.9,159.7,34.4,-36.6,122.4
G1111,228,2809.8,205.8,-2,203.5,8.8,-48.2,61.7
G1109-2,229,2805.8,175.9,-51.1,220.8,-44,-53.9,6
G1108,230,2803.8,184.2,41,157.5,28.1,-39.3,126.9
G1105,231,2797.8,186.3,4.8,182.2,4.9,-56.6,94.3
G1104,232,2795.8,173.3,-6.3,180.9,-12,-65.2,96.2
G1103,233,2792.8,156.7,52.1,129.7,21,-26.2,155.7
G1101,234,2788.8,1,42.3,35.2,30.2,54.8,204.7
G1100,235,2786.3,94.1,20.4,94.2,-24.6,-10.1,197.4
G1099,236,2784.3,359.5,-5.7,356.7,-0.9,58.5,284.6
G1098,237,2782.3,27,54.5,58.1,24.6,33.8,193.3
G1097-2,238,2780.9,350.5,84.6,86.5,46,16.4,165.8
G1096,239,2779.7,67.7,56.1,79.3,13.5,12.7,187.8
G1095,240,2777.7,77.3,28,78.7,-15.4,5.5,200.9
G1094,241,2775.7,329.8,76.2,75.6,51.4,26.9,165.3
G1093,242,2773.7,26.6,52.7,56.4,23.4,34.9,195
G1092-1,243,2769.7,305.3,65,64.2,63.6,38.8,152.8
G1091,244,2767.7,165.9,74,113.4,38.3,-7.4,157.7
G1090,245,2765.7,338.9,26.5,7.3,35.7,77.1,245.9
G1089,246,2763.7,34,38.4,50.5,9.4,35.9,206.6
G1088,247,2761.7,38.7,47.5,59.1,14.5,30.2,198.4
G1087,248,2759.7,15.1,33.5,35.6,16.1,49.8,215
G1086,249,2757.7,345.5,33.3,18.2,35.1,70,219
G1085,250,2755.7,6.7,28.9,27,18.3,57,223
G1084,251,2753.7,223.6,82.9,102.3,49.2,5.7,156.5
G1083,252,2750.7,30.9,41.2,50.5,13,37,204.7
G1082,253,2748.7,13.9,38.3,38.6,20.1,48.8,209.6
G1081,254,2746.7,17.5,20,27.5,5,51.6,230.4
G1080-2,255,2744.7,12.7,69,67.1,38.4,30,179.6
G1079,256,2741.7,353.3,53.7,44.3,40.4,50,188.4
G1078,257,2738.7,353.8,39,28.5,32.8,61.1,208.3
G1077,258,2736.7,23.9,44.2,48.6,18.6,40.2,202.8
G1076,259,2734.7,20.1,40.5,43.8,18,43.9,206.7
G1075,260,2732.7,10.4,29.3,29.6,16.1,54.3,221.4
G1074,261,2730.7,344.8,46.1,32,42.1,61,193.4
G1073,262,2728.7,47.2,44.8,62.4,8.9,25.9,199.2
G1072,263,2726.2,357,18.5,12.6,17.8,65.3,247.3
G1071,264,2724.2,27.4,68.4,70.1,33.6,26,181.6
G1070,265,2722.2,356.1,41.4,32,32.7,58.2,205
G1069,266,2720.8,56.9,42,67.3,3.1,20.2,199
G1068,267,2718.2,6.1,36,32.3,23.3,54.8,213.2
G1067,268,2716.2,328.8,31.6,6,45.9,83.7,221
G1066,269,2714.2,59.8,18.5,59.6,-19.3,19.8,213.7
G1064,270,2710.2,352.2,28.3,17.6,27.6,67.1,229.5
G1063,271,2707.2,0.7,33.1,26.9,24.8,59.5,218.1
G1062,272,2705.2,331.9,29,5.1,42.2,82.1,242.1
G1060,273,2701.2,14.8,54.4,52.7,29.8,39.9,193
G1059,274,2699.2,355.9,29.8,21.1,26,64.1,225.1
G1058,275,2696.7,323.1,35.7,7.4,52,83.5,170.7
G1057,276,2694.7,5.6,31.9,28.7,20.9,56.7,219.1
G1056,277,2692.7,21.9,58.2,58.9,29.1,34.4,190
G1055,278,2690.7,7.3,54.6,45.3,35.3,47.8,192.9
G1054,279,2689.2,14.1,44.2,39.9,24.9,49.2,205.1
G1053,280,2688,31.2,49.5,53.3,21.4,37,198.1
G1052,281,2686,12.9,31.3,29.9,15.9,54,221.2
G1051,282,2684,10.6,25.1,24.2,12.6,56.6,230.5
G1050,283,2681,350.3,42,24.5,36.4,65.6,208.2
G1049,284,2679,359.4,14.8,9.2,11.7,63.6,257.3
G1048,285,2677,12.8,41.6,37.2,23.7,51.1,208.3
G1047,286,2675,357.2,53.9,40.2,39.6,53.3,191.5
G1046,287,2673,15.3,44.4,40.7,18.4,46.6,209
G1045,288,2671,322.4,39.5,10.1,48.5,81.2,194.7
G1044-2,289,2669,355,60.3,47.4,37.6,46.6,189.6
G1043,290,2667,1.4,43.3,32.8,25.3,55.1,211.1
G1042,291,2664.3,11.8,34.6,31.4,13.5,52.1,221
G1041,292,2662.5,24,21.4,30.5,-3.6,46.3,231
G1040,293,2660.5,5.7,44.8,36.1,23.8,52,209.2
G1039,294,2658.5,354.4,39,25.4,26.9,61.4,218.1
G1038,295,2656.5,346.4,40.2,21.5,31.4,66,218.7
G1037,296,2654.5,13.4,30.6,28.8,8.5,52,226.9
G1036,297,2652.5,16.7,28.9,29.8,5.3,50.2,227.5
G1035,298,2650.5,352,29.1,14.7,21.1,65.9,240.8
G1034,299,2648.5,340.1,24,3,26.1,72.7,268.5
G1033,300,2646.5,340.2,47.7,26.8,39,64.5,202
G1032,301,2644,10.4,49.2,41,23.1,47.8,205.6
G1031,302,2642,323.4,58.5,37.7,51.6,58,175.8
G1030,303,2640,14.1,44.5,39.2,18.1,47.7,210.4
G1029,304,2638,356.5,49.9,35.5,30.7,54.7,203.9
G1028,305,2636,337.6,53.9,33.5,42.9,59.9,191.3
G1027,306,2634,328.2,58.4,37.9,49.1,57.5,179.9
G1026,307,2632,340.8,32.3,10.9,30.6,72.5,241.2
G1025,308,2630,81.7,55.7,82.7,9.7,8.8,187.8
G1024,309,2628,12.7,45.7,38.6,15.9,47.4,212.4
G1023,310,2626,339,23.7,2.2,24,71.6,271.5
G1022,311,2624,8.8,19.1,16.9,-0.2,55.1,247.7
G1021,312,2622,0.5,36.1,24.8,16.6,57.8,227.1
G1020,313,2621,334,53.9,32.4,41.3,60.4,194.3
G1019,314,2619,316.6,55.1,31.7,51.4,63,177.4
G1018,315,2617,353.6,22.7,10.1,12.8,63.9,255
G1017,316,2615,335,37.5,13.4,34.4,73,229.8
G1016,317,2613,5.8,35.2,27,12.7,54.8,226.7
G1015,318,2611,38.6,67.3,64.6,22.9,27.8,190.7
G1014,319,2609,359.2,50,36.1,25.7,52.6,207.7
G1013,320,2607.6,357.9,56.5,41.8,29.8,49.2,199.9
G1012,321,2605.6,346.7,61.9,44.8,37.3,48.7,191.3
G1011,322,2603.6,346.6,39.9,21.2,27.7,64.7,223.2
G1010,323,2600.6,326.3,64.6,46.3,46.7,49.8,180.3
G1009,324,2598.6,6.4,41.1,31.9,16.3,52.7,218.7
G1008,325,2596.6,355.5,61.4,46.2,33.2,46.4,194.2
G1007,326,2594.6,352.6,41.3,25.3,24.6,60.6,220.3
G1006,327,2592.6,345.7,68,52.2,39.4,43,185.5
G1005,328,2591,347.2,47.5,29.1,31.2,60.1,209.4
G1004,329,2589,359.7,27.4,17.4,11.6,60.1,241.6
G1003,330,2587,328.8,34.7,3,37.4,79.7,262.4
G1002,331,2585,44.2,73.1,67.8,31.5,27.4,184
G1001,332,2583,355.6,43.5,25.8,26,60.7,218.4
G1000-1,333,2581,60.1,65.3,70.6,22.3,22.5,188
G999,334,2579,330.5,69.7,49.1,48.7,47.9,176.9
G998,335,2577,56.2,71.6,71,28.7,23.9,184.2
G997,336,2575,34.6,32.5,42.8,-1.9,38.4,218.2
G996,337,2573,359.2,32.8,19.4,16.6,61.2,235.3
G995,338,2571,17.3,47.8,40.5,18.2,46.7,209.3
G994,339,2569,321.7,45.1,11.5,47.3,79.7,198.9
G993,340,2567,345.8,46.2,23.5,33.1,65.2,213.8
G992,341,2565,349.9,58.7,38,37.5,54.6,195.2
G991,342,2563,24.3,36.8,37.9,6.3,44.8,218.5
G990,343,2561,348.6,44.8,23.5,30.7,64.2,216.7
G989-1,344,2559,30.1,62.3,56.3,25.1,35.5,194
G988,345,2557,39,68.5,63.5,28.3,30.2,188.2
G986,346,2549,112.7,-43.5,173.3,-66.8,-70.8,265
G985-1,347,2548,99.5,-33.9,135.2,-70.3,-50.5,238.1
G983-1,348,2544,105.6,-69.3,239.3,-64.4,-42.3,331.9
G980,349,2531,208.3,-70.4,241.7,-33.2,-33.1,5.8
G979,350,2526,172.4,-44.3,204.9,-29.4,-62.7,36.2
G978,351,2521,157.9,-46.4,199.9,-38.9,-70.1,30.1
G977,352,2516,182.4,-35.3,203.2,-17.7,-59.3,48.6
G976,353,2513,185,-28.3,200,-11,-58.5,57.7
G975,354,2511,175.9,-13.2,183.3,-5.6,-61.8,91.3
G974,355,2509,159.7,-33,187.6,-30,-73.7,71.4
G973,356,2507,170.4,-44.7,204.2,-30.8,-63.8,35.6
G972-2,357,2505,146.1,-54.3,205.6,-49.1,-68,3.9
G970,358,2496,131.1,-76.2,241.4,-54.3,-39.1,346.5
G969,359,2491,95,-84.5,257.7,-52.2,-25.6,343.9
G968-1,360,2486.2,192.8,-47.1,217.9,-20.8,-49.6,29.8
G966,361,2479.2,175.7,-48.8,210.6,-30.3,-58.6,28.8
G965,362,2476.2,189.7,-12.5,192.9,3.8,-55,75.4
G964,363,2473.2,63,-48.9,334.2,-78.5,-10.6,287.9
G963,364,2468.2,154,-54.2,207.8,-44.7,-65.2,11.8
G962,365,2466.2,215.8,-30.2,222.9,3.2,-37.9,38.7
G961,366,2462.2,167.6,-44.1,202.2,-32,-65.7,37
G960,367,2456.2,144.1,-68.5,227.4,-52.2,-50,352.6
G984,368,2456,144.1,-35.3,180.3,-41.7,-83.2,96
G959,369,2450.2,195.1,-57.1,226.5,-27.2,-44.4,18.6
G958,370,2446.2,187.8,-57.7,223.8,-30.4,-47.6,18
G957,371,2443.2,179.4,-59.5,222.3,-35,-50.2,15
G956-1,372,2438.2,157.5,13.9,151.5,1.9,-48.2,144
G955-1,373,2432.2,174.6,-52.6,213.7,-33.2,-57,23
G954,374,2428.2,259.8,-72.8,259.9,-29.8,-16.6,359.3
G953,375,2422.2,209.3,-46.7,226.9,-13.7,-40.1,26.9
G951,376,2414.2,133,-64,220.1,-56.8,-56.4,346
G950,377,2412.2,183.3,-46.2,213.6,-33.1,-57,23.2
G948-2,378,2408.2,220.8,-22.8,225.5,3.4,-35.9,36.7
G947,379,2406.2,199.6,-47.7,224.2,-26.6,-46.2,20.7
G946,380,2404.2,214.5,-0.6,209,19.9,-40.4,59.5
G945,381,2402.2,190.9,-41.9,214.8,-26.2,-53.8,28.5
G944,382,2400.2,198.2,-29.4,211.5,-12.7,-51.7,41.4
G943,383,2398.2,196.2,-57.2,229.7,-35.1,-43.9,10.6
G942,384,2396.2,192.8,-39.6,214.3,-23.5,-53.3,31.1
G941,385,2394.2,223,-63.5,246.8,-31.9,-28.4,4.2
G940,386,2392.2,268.5,-53.4,268.7,-16.4,-5.4,1.8
G939,387,2390.2,246.8,-68.2,259.4,-32.3,-17.8,358.1
G937,388,2385.2,191.2,-54.1,224.6,-34.9,-48.3,13.6
G934,389,2377.2,203.2,-44,223.9,-22.1,-45.1,24
G932,390,2373.2,176.5,-26.8,194.1,-22.5,-66.8,61
G931,391,2371.2,181.7,-74.7,245,-49.7,-35,350.6
G930,392,2369.2,196.1,-42.2,218.2,-24,-50.4,27.2
G927,393,2363.2,199.5,-21.7,208.1,-5.7,-51.4,49.3
G925,394,2359.2,218.2,-46.4,234.7,-18.4,-35,19
