sample,#,depth,Dg,Ig,Ds,Is,Lat,Lon
G378,807,1214,237,-73.4,253.1,-38.6,-25,356.9
G377,808,1212,224.7,-47.5,236.8,-16.3,-32.6,18.8
G376,809,1210,210.8,-41,224.5,-14.7,-42.4,28.2
G375,810,1208,205.3,-50.3,226,-24.6,-44.1,20.8
G374,811,1206,205.9,-49.5,225.9,-23.7,-43.9,21.5
G373,812,1204,249.9,-64,256,-28.4,-19.5,1.9
G372,813,1202,206.2,-25.2,213.4,-2.5,-46.7,44.9
G371,814,1200,237.1,-59.1,246.9,-28.5,-27.3,6.3
G370,815,1198,220.1,-38.9,229.2,-12.5,-37.9,25.9
G366,816,1184,129.4,-22.2,146.1,-39.8,-58.8,181.4
G365,817,1182,168.1,-30.5,185.9,-26.5,-72.3,79.2
G362,818,1176,334.1,77.2,55.4,59.2,44.7,160.8
G361,819,1174,206.8,-70.3,238.1,-43.8,-39.1,358.9
G360,820,1172,248.7,-31.8,250.5,-0.3,-16.7,18.5
G359,821,1169,212.7,-21.3,218.2,-2.6,-43.3,40.1
G357,822,1165,131.4,-21,146.1,-41.4,-59.2,183.5
G354,823,1159,200.3,-23.3,208.8,-9.6,-52.5,46.3
G345,824,1142,163.8,-0.5,166.2,-8.2,-60.3,127
G343,825,1138.2,269.9,53.1,273.9,84.1,30.9,84.7
G342,826,1136.5,222.4,-39.8,233.5,-16.2,-35.4,20.9
G340,827,1133,145.5,-28.5,166,-41.2,-75.6,161.6
G335,828,1123.5,17.7,-51.2,334.9,-50.7,23.3,301.5
G333,829,1119.5,302.2,29.5,323.9,53.2,59.5,23.4
G332,830,1117.5,209.9,75.8,113.3,62.3,6.2,140.3
G330,831,1113.5,327.4,-25.4,319.2,-6.6,38.3,334.5
G328,832,1109.5,1.7,-34.4,340.1,-30.7,38.9,303.1
G327,833,1108,1.8,-50.9,325.9,-42.8,25.4,312.6
G323,834,1100,353.2,0.5,354,2.6,59.9,290.3
G322,835,1098,26.1,-76.9,305.2,-67,-4.1,310.3
G319,836,1092,5.7,18.4,13.4,15.4,63.8,247
G317,837,1088,14.3,48.9,37,38.9,55.9,194.3
G316,838,1086,119.1,-61.4,177.8,-77.8,-54.2,276.8
G315,839,1084.5,180,-14,186.3,-13.9,-65.5,83.1
G314,840,1083,202.1,-34.6,214.9,-23.6,-52.9,30.5
G313,841,1081.5,110.4,-4.9,112.8,-28.6,-27.1,190.5
G312-1,842,1079.5,283.6,-59.1,279.6,-34.3,-1.7,347.3
G311,843,1078,308.3,-17.3,306.5,3.4,31.7,349.1
G310,844,1076.5,210,-55.1,231.8,-39.3,-43.3,5.8
G309,845,1074.5,239.8,-47,248.7,-25,-24.8,7.4
G308,846,1072.5,209.3,-61,235.4,-44.6,-41.6,359.2
G307,847,1070.5,170.8,-70.6,228.9,-62.2,-49.7,336
G305,848,1067,230.2,-24.7,234.7,-5.5,-31.3,25.7
G303,849,1064,216.3,-26.1,223.1,-11,-42.3,31.4
G302,850,1062,222.4,-69.8,248.8,-49.3,-31.7,349.7
G301,851,1059,104.1,-33.5,110.5,-57.7,-33.6,216.4
G299,852,1055,198.8,-22.2,206.6,-13.6,-55.5,46.7
G298,853,1053,218.1,-58.3,238.9,-40,-37.4,1.9
G297,854,1051,255.6,-42.7,259.6,-18.6,-13.8,5.3
G296,855,1045,248,-64.7,259.2,-41,-20.6,352.5
G294,856,1038.5,60.6,42.2,68,20.2,24.1,190.4
G293,857,1037,10,0.9,9.7,-2.1,56.8,260.4
G291,858,1026.5,37.1,59.8,59.1,41.6,37.7,180.5
G289,859,1024,42.4,36.6,52,19,37.4,200.3
G288,860,1022.5,87.3,-17.8,85.6,-42.7,-8.9,211.9
G285,861,1016,304.9,-49.3,295.7,-27,13.5,342.2
G284,862,1008.5,332.5,-7.9,331.9,5.1,51.2,327
G283,863,1007,284.1,52.7,302.9,76.4,41.7,69
G282,864,1005.5,124.5,7.6,125.2,-13.7,-33.6,175.1
G281,865,1003.5,304.1,5.6,308.1,26.7,39.7,1
G279,866,1000,47.2,36.1,56.2,15.9,33,199.4
G278-2,867,998,277.5,74.2,89.2,78.7,28.7,123.3
G277,868,994,70.2,57.4,79.2,31.8,17.8,178.5
G274,869,988,334.6,78.1,67.2,66.6,37.3,147.6
G273,870,986,29.9,17.2,34.5,4.2,46.5,222.9
G272,871,984,54.6,68.6,75.1,44.6,25.1,171.5
G271,872,982,2.3,33,18.9,29.8,67.2,224.8
G270,873,980,322.1,12.9,330.6,29.6,59.3,345.8
G269,874,978,46.7,-22.9,33.3,-39,28.2,243
G267,875,974,320.9,-42.9,309.3,-22.3,25.4,335.4
G266,876,972,316,3.5,320.5,23.1,49,349.8
G265,877,970,31,-24.3,16.7,-33.7,38.2,258
G259,878,958,318.8,29.1,335.6,45.6,68.4,4.3
G258,879,956,5.1,36.6,23.5,31.6,64.6,215.6
G257,880,954,62.7,47.5,75,24.6,19.3,184.5
G256,881,952,312.4,33.2,328.9,56.4,63.6,30.1
G255,882,950,311.3,6.4,316,31.1,47.7,359.3
G253,883,946,293.6,-73.6,288.5,-45.7,0.5,335.9
G252,884,945,74.3,1,71.3,-22.8,9.4,208.3
G251,885,943,10.1,41,33.5,37.6,58.5,198.3
G250,886,941,297.6,2.1,299.5,29.4,33.1,7.6
G249,887,939,93.4,78.6,101.4,50.8,7.1,155.7
G248,888,937,323.9,31.3,342.5,50.4,75,14
G247,889,935,354.3,25.5,9.7,32,73.9,242.9
G246,890,933,63.5,71,86.9,46.1,16.1,165.6
G241,891,923,20.5,20.4,29.6,15.4,54,221.9
G240,892,919,9.1,40.6,32.4,37.6,59.4,199.1
G239,893,917,0.7,47.2,31.6,46.6,62.4,186.4
G236,894,911,71.1,63.5,86.6,38.1,13.6,171.2
G234,895,907,325.9,28.9,343,47.5,75.1,4
G232,896,903,341.3,18.3,353.1,31.6,74.9,304.4
G230,897,899,28.3,6.8,29.9,-0.1,48.1,230.1
G229,898,897,40,-13.1,31.2,-23.2,37.6,238.5
G228,899,895,354.1,46.6,26,49.1,67.6,183.8
G224,900,887,202.6,-44.2,225.1,-34.8,-47.8,13.4
G223,901,885,294.8,-56,291.2,-28.2,9.6,344.3
G220,902,879,131.3,51.1,122.9,25,-19.7,158.6
G219,903,877,279.2,20.7,276.8,48.5,19.9,31.4
G218,904,875,243,-56.6,258.9,-33,-18.4,357.9
G217,905,873,287,-32.2,286.7,-4.2,13.2,357.7
G216,906,871,189,-44.2,215.1,-40.5,-57.9,13.6
G214,907,867,214.5,-18.7,220.7,-7.7,-43.2,35.2
G212,908,863,293.4,-29.1,292.3,-1.4,18.6,355.8
G211,909,861,221.4,-12.1,223.8,1.1,-37.9,37
G207,910,853,240.5,-16,242.4,4.5,-22.2,25.3
G206,911,851,132.1,-22.5,142.6,-46.4,-57.4,192.4
G205,912,849,233,-24.6,238.9,-6,-28,22.7
G202,913,843,306.2,-28,303.7,-1.6,28,348.7
G201,914,841,222.1,-58.7,247.8,-40,-29.8,358.1
G200,915,839,285.9,-83.2,285.2,-55.3,-6.8,330.3
G199,916,837,174.9,26.6,165.1,14.5,-49.2,121.3
G196,917,831,237.4,-8.4,236.9,11.5,-24.5,32
G195,918,829,150.3,4.8,151.7,-12.4,-53.8,151.3
G188,919,815,202.9,12.9,195.5,17.4,-47.6,75.3
G187,920,813,355.9,16.4,5.1,21,69.5,263.9
G186,921,811,2.5,26.3,16.2,26.7,67.6,233
G185,922,809,358.2,-0.1,359.5,5.2,61.8,279.4
G184,923,807,24.2,12.3,28.1,4.7,51.1,229.8
G183,924,805,352.3,46.8,22.6,48.1,70.4,187.6
G182,925,803,11.1,61.6,50.6,51.2,47.2,173.2
G181,926,801,351.2,43.9,19,46.4,73.2,194.3
G180,927,799,355.7,37.7,17.7,39.3,72,212.6
G179,928,797,321.1,13.3,329.3,32.5,59.2,350.1
G178,929,795,18.6,40.1,37.5,31.4,53.2,201.7
G177,930,793,304.1,-3.7,305.9,20.9,36.2,358.7
G175,931,789,343.4,50.1,19.1,54.5,73.5,168.6
G172,932,783,326.9,15.1,336.3,32.1,64.6,341.8
G171,933,781,19.5,-63.4,332,-59.5,14.2,300
G170,934,779,74.1,1.8,72.5,-21.6,8.8,207.1
G169,935,777,4,47.4,28.7,41.8,63.7,196.1
G168,936,775,17,19,23.7,11.7,56.6,231.7
G167,937,773,262.3,-25,263.4,-0.5,-5.8,11.5
G166,938,771,87.1,70,90.7,45.1,12.7,164.7
G165,939,769,323.2,-43.5,311.3,-25.1,25.8,332.6
G164,940,767,56.5,38.8,66.7,11.8,23,195.3
G162,941,762,359.6,38.2,26.4,36.3,64,206.2
G161,942,757,34.1,47,55.8,26.9,36.4,193.2
G160,943,755,48.3,42.3,62.6,17.6,28.1,194.7
G159,944,753,22.3,61.9,61.4,42.5,36,178.7
G158,945,751,56.7,58.3,75.5,29.5,20.3,181.6
G157,946,749,8.9,38.5,33.3,31.7,56.8,204.9
G156,947,747,10,3.5,12,2.9,58.5,254.9
G155,948,745,323.5,44.4,5.6,60.4,78.6,120
G154,949,743,31.7,44.8,52.8,25.9,38.7,195.6
G153,950,741,20.9,41.5,43.5,28.1,47.2,200
G152,951,739,316.1,65.9,54.6,70.3,44.9,140.4
G151,952,737,10.6,50.7,44.6,39.6,49.5,189.1
G150,953,735,18.7,58.1,56,41.3,40.2,182.1
G149,954,733,26.4,51.7,54.5,33.6,39.4,189.2
G148,955,731,80.8,51.1,87.4,18.2,7,181.6
G147,956,729,350,54.1,37.5,51.6,58.2,175.8
G146,957,727,56.7,57.4,75.1,28.6,20.4,182.3
G145,958,725,9.3,55,40.5,46.5,54.7,182.8
G144,959,723,17.2,40.6,35.5,31.7,55,203
G143,960,721,29.7,55.8,54,40.4,41.7,183.8
G142,961,719,30.2,45.2,47.9,31.1,44.4,194.8
G141,962,717,27,48.6,47.6,35.1,45.7,191.7
G139,963,713,300.2,75.1,71.4,76.4,35.5,128.8
G138,964,711,60.3,11.3,60.5,-9.7,22.2,208.8
G137,965,709,50.6,62.1,70.4,40.8,27.9,176.4
G136,966,707,101.4,15.4,101.3,-10.6,-12.4,187.1
G135,967,705,68.5,50.3,77.6,28.8,18.3,181
G134,968,703,32.8,53.3,54.3,39.6,41.2,184.4
G133,969,701,124,41.9,118.7,19.5,-18.5,163.9
G132,970,699,359.5,39.4,19.7,39.6,70.5,209
G131,971,697,15.5,52.1,41.5,44.2,53.4,185.4
G130,972,695,34.8,42.5,49.7,29.4,42.3,195
G129,973,693,36.2,65.7,65.5,49.3,34.4,170.8
G128,974,691,75.7,54.9,83.8,32.3,14.1,176
G127,975,687,26.1,44.2,44,33.8,48.5,195
G126,976,686,28,51.2,49.6,39.3,45.2,186.9
G125,977,684,43.4,50.7,60.2,34.4,34.7,185.7
G124,978,682,41.7,57.2,62.6,40.7,34.4,179.8
G123,979,680,27.1,47.9,46.9,36.7,46.8,190.7
G122,980,678,36.4,41.2,50.5,27.8,41.2,195.7
G121,981,676,29,46.2,47.3,34.5,45.8,192.4
G119,982,672,50.2,42.3,61.5,24.9,31,191.3
G118,983,670,47.4,47.9,61.7,30.8,32.4,187.5
G117,984,668,42.1,51.2,59.5,35.2,35.6,185.5
G116,985,666,23.2,56.8,50.5,45.5,46,180.1
G115,986,664,67.5,42.3,74.8,21.1,18.6,186.4
G114,987,662,27.7,40.1,43.1,29.6,48,199.1
G113,988,660,22.8,40.5,39.4,31.6,51.7,200.1
G112,989,658,44.1,62.9,67.7,45.2,31.4,173.9
G111,990,656,18.4,24.3,27.8,18.8,56.6,221.7
G110,991,654,24.2,49.2,45.6,38.8,48.5,189.4
GJ412,992,652,355.1,-2,354.7,0.1,58.8,288.6
GJ409,993,646,14.2,27.9,24,20.2,59.8,225.7
GJ407,994,640,213.7,-9.4,214.6,3.6,-43.6,46.6
GJ406,995,638,230.3,-34.2,236.7,-15.6,-32.5,19.2
GJ405,996,636,199.4,-25.2,207.4,-16,-55.8,44.1
GJ404,997,634,211.2,-23,216.9,-10,-46.8,37.4
GJ403,998,632,205.4,-27.3,213.5,-15.9,-51.4,37.3
GJ402,999,630,197.7,-25.5,206.1,-16.8,-57,45.2
GJ401,1000,628,197.1,-47.4,216,-36.8,-56.1,17.4
GJ400,1001,626,221.8,-28.2,227.8,-11.9,-38.8,27.2
GJ399,1002,624,248.9,-28.4,251.4,-6.8,-17.7,15.1
GJ398,1003,622,256.3,-47.8,259.9,-25.3,-15.3,1.8
GJ397,1004,620,213.3,-25.3,219.6,-11.5,-45.2,34.1
GJ394,1005,614,216.3,30.8,201.2,42,-31.3,75.6
GJ393,1006,612,212.2,-35.8,222.4,-21.7,-46.2,25.4
GJ392,1007,610,230.4,-36.4,237.4,-17.7,-32.5,17.7
GJ391,1008,608,243,-40.8,248.6,-19.8,-23.5,10.3
GJ390,1009,606,115.9,-39.8,130.9,-59.2,-49.5,215.3
GJ389,1010,604,208.4,-34.9,218.9,-21.9,-49.1,28.1
GJ388,1011,602,213.2,-33.2,222.2,-19,-45.5,27.4
GJ387,1012,600,226,-42.7,235.8,-24.7,-35.8,14.6
GJ386,1013,598,243.2,-31.3,246.9,-10.3,-22.4,15.9
GJ384,1014,594,178.8,-28.8,191,-26.8,-70.5,64.6
GJ383,1015,592,216.1,-37.5,226.1,-22.2,-43.3,22.4
GJ382,1016,590,42.5,46,52.3,22.8,38.3,197.9
GJ381,1017,587.5,22.3,39.1,34.7,21.6,52.4,212.1
GJ380,1018,586,72.7,61,75.4,34.1,21.7,178.8
GJ379,1019,584.5,46.3,36.3,52.5,12.8,35.3,203.4
GJ378,1020,580,42.8,23.1,46,0.7,36.8,214.3
GJ377,1021,578,58,40.5,62.7,14.9,27.3,196.1
GJ376,1022,576,16,27.2,24.6,13,56.5,229.7
GJ375,1023,574,46.8,59.5,59.8,35,35.2,185.5
GJ374,1024,572,19.5,34.1,30.4,18,54.4,219.2
GJ373,1025,570,33.3,13.6,34.6,-5.6,42.9,227.6
GJ372,1026,568,38.8,45.9,49.7,23.5,40.7,199.1
GJ371-1,1027,566,51,36.8,56.4,12.4,31.9,201.1
GJ370,1028,564,47,46.5,55.8,22.4,35.2,196
GJ369,1029,562,58.4,35.9,62.2,10.3,26.4,198.6
GJ367,1030,558,42.5,57.6,56.4,33.8,37.8,188.1
GJ366,1031,552,0.7,61.3,34.8,47.5,59.8,183.6
GJ365,1032,550,59.2,54.8,66.1,28.8,28.1,186.5
GJ364,1033,547.4,37.2,47,49,24.9,41.7,198.6
GJ363,1034,546,40.4,35.5,47.5,13.2,39.5,206.7
GJ362,1035,542.5,25.2,58.3,46.4,38.2,47.6,189.6
GJ361,1036,540.5,45.5,50.9,56.1,26.9,36.2,193
GJ360,1037,538.5,23.5,65.5,54.4,40.2,41.3,183.8
GJ359,1038,536.5,51.7,58,64.4,27.5,29.2,188.2
GJ358,1039,534.5,61.8,-33.7,42.8,-63,5.2,249.2
GJ357,1040,532.3,50.9,42.4,59,12.8,29.8,199.3
GJ356,1041,530.3,37.9,52.6,54.1,25.3,37.4,195.2
GJ355,1042,528.3,92,59.6,87.7,26.9,9.2,177.1
GJ354,1043,526.3,1.3,48.9,29.6,35,60.9,204.7
GJ353-2,1044,524.3,29.6,45.5,45.4,21.4,43.6,203.4
GJ352,1045,521.4,14.6,55.5,42.4,34.9,50.1,195
GJ351,1046,519.5,355.7,36.2,16.4,27.8,68,231.6
GJ350,1047,516.5,33.2,29.2,40.8,5.5,42.4,216.3
GJ349,1048,514.5,35.7,47.9,50.6,21.7,39.4,199.6
GJ348,1049,512.5,44.6,46,55.7,17.6,33.9,198.8
GJ347,1050,510.5,15,40.9,33,22.9,54.1,212.8
GJ346,1051,508.5,38.6,54.7,55.5,27.1,36.7,193.2
GJ345,1052,506.5,357.5,43.4,22.9,32.6,65.4,215.3
GJ344,1053,504.5,40.6,49.6,54.5,21.9,36.1,197
GJ342,1054,500.5,80.2,-48.9,74,-81.8,-25.3,261.2
GJ341,1055,498.5,77.6,47.3,78.9,14.4,13.3,187.6
GJ340,1056,496.5,22.6,39,37.2,18.3,49.3,212.1
GJ338,1057,491.5,81.3,27.9,81.4,-5.1,6,194.9
GJ337,1058,486.5,10.8,43.7,31.9,26.9,56.4,210.7
GJ336,1059,484.5,59.7,45,65.9,13.7,24.2,194.8
GJ335,1060,482.5,52.5,19.1,53.8,-9.9,27.4,213.4
GJ334,1061,480.5,23.9,40.9,39.1,19.4,48.2,209.7
GJ333,1062,478.5,32.9,58.1,54,31.6,39.3,190.9
GJ332,1063,476.5,20.9,42.3,37.8,21.7,49.9,209.2
GJ231,1064,474.5,59.6,20.3,61.4,9.3,26.8,199.6
GJ230,1065,472.2,89,50.3,89.8,37.3,10.7,170.3
GJ229,1066,470.2,35.2,11.7,36.8,4.6,45,220.4
GJ228,1067,468.2,37.6,11.6,39.1,4.1,43.2,218.5
GJ227,1068,466.2,52.6,45.3,59.2,34.8,35.7,185.9
GJ226,1069,464.2,18.9,35.3,26.9,30.8,61.7,212.3
GJ225,1070,462.2,6.3,43.5,18.2,41.4,72.4,207.5
GJ224,1071,460.2,35.7,15.5,37.9,8.2,45.4,217.5
GJ223,1072,458.2,50,35.8,55,25.8,36.8,194.3
GJ222,1073,456.2,38.2,46.7,47.4,38.3,46.8,188.9
GJ221,1074,454.2,50.8,17.8,52.8,8,33.6,205.7
GJ220,1075,451.8,25.2,39.8,34,33.9,56.9,202
GJ219,1076,449.8,43.7,21.5,46.6,12.7,40.1,207.7
GJ218,1077,447.8,52.7,23.8,55.5,13.7,33,201
GJ217,1078,445.8,57.9,35.4,62,24.5,30.5,191.2
GJ216,1079,443.8,91.9,46.3,92.1,33.3,7.5,171.6
GJ215,1080,441.8,37.2,46.4,46.5,38.2,47.5,189.5
GJ214,1081,439.8,55.5,36.4,60,25.8,32.5,191.5
GJ213,1082,437.8,85.8,25.8,86.4,13,6.5,184.5
GJ212,1083,435.8,67.6,30,69.9,18.1,22,190.5
GJ211,1084,433.8,64.5,38.9,68.3,27.2,25.8,186.4
GJ210,1085,431.8,45.7,30.8,50.3,21.6,39.6,199.9
GJ209,1086,429.8,26.9,42.1,36.1,35.8,55.7,198.4
GJ208,1087,427.8,43.9,28.3,48.1,19.4,40.8,202.7
GJ207,1088,425.8,47.2,22,50.1,12.7,37.2,205.1
GJ206,1089,423.8,37.5,6.2,37.9,-1.1,42.3,222.2
GJ205,1090,421.8,42.6,27.6,46.8,18.9,41.7,203.9
GJ204,1091,419.8,27.4,25.2,32.2,19.3,53.5,216.3
GJ203,1092,417.8,28.4,33.2,35.1,27,53.8,207.6
GJ202,1093,415.8,25.2,14.3,27.7,9.1,53,228
GJ201,1094,413.8,47.1,17.2,49.2,7.9,36.5,208.3
GJ200,1095,411.8,60.5,52.5,67.3,41.1,30.6,177.5
GJ199-2,1096,409.8,55.3,34.4,59.6,23.8,32.3,193
GJ198,1097,407.8,81.4,49.3,83.6,36.5,15.5,173.6
GJ197,1098,405.8,45,24.2,48.4,15.2,39.3,205
GJ196,1099,404.8,59,28.9,62,17.9,28.7,194.9
GJ195,1100,403.8,122.2,33.3,119,21.7,-17.9,162.7
GJ194,1101,401.8,43.1,47.3,51.7,38.1,43,186.9
GJ193,1102,399.8,27.7,33.4,34.8,28,54.4,207
GJ191,1103,395.8,55.8,24.2,58.7,14.2,30.5,198.8
GJ190,1104,393.8,62.4,21.5,64.4,10.6,24.7,197.2
GJ188,1105,389.8,24.9,26.2,30.2,21.6,55.8,216.8
GJ187,1106,387.8,43,43.7,51.2,35.3,42.7,189.6
GJ186,1107,385.2,28.3,24.3,33,19,52.8,215.7
GJ185,1108,384.2,74.1,40.8,78.1,25.9,17,182.3
GJ184,1109,382.2,76.7,23.8,78.4,8.8,12.2,190.4
GJ183,1110,380.2,74.7,33,77.6,18.2,15.4,186.5
GJ182,1111,378.2,45.3,36.3,52.6,25.8,38.9,195.8
GJ181,1112,375.2,42.6,15.2,45,5.9,39.3,212.5
GJ180,1113,373.2,34.7,25.2,40.2,17.3,46.6,210.1
GJ179,1114,371.2,107.9,-69.5,137,-84.5,-38.5,268.8
GJ178,1115,369.2,56.4,47.7,65,34.9,30.8,183.1
GJ177,1116,367.2,61.5,33.6,66.1,20.3,25.8,191.4
GJ176,1117,365.2,51.9,43.1,60.1,31.2,33.9,188
GJ175,1118,363.2,35.7,24.3,40.8,16.3,45.8,210.2
GJ174,1119,362,21.9,36.7,32.2,31.4,57.6,206.2
GJ173,1120,352,21.3,44,34.6,38.4,57.8,196.5
GJ172,1121,350,57.3,17.3,59.3,5,27.4,202.9
GJ171,1122,348,50.1,18.7,52.8,7.7,33.5,205.9
GJ170,1123,346,53.7,31.6,58.8,19.6,31.9,195.8
GJ169,1124,344,57.9,0.6,56.9,-11.6,24.5,212
GJ168,1125,342,60.5,30.4,64.6,17.3,26.3,193.8
GJ167,1126,340,35.3,28.9,41.7,20.7,46.5,206.7
GJ166,1127,338,33.9,33,41.7,24.9,47.8,203.7
GJ165-1,1128,336,59.7,58.8,70.9,45.2,28.8,172.7
GJ164,1129,334,49.8,26.5,54.3,15.3,34.5,200.9
GJ163-2,1130,332,55.8,25.9,59.6,13.7,29.6,198.5
GJ162,1131,330,118.8,57.5,112.9,42.3,-5.3,155.7
GJ161,1132,328.5,89.1,32,90.2,16.1,4,181.1
GJ160,1133,326.5,90.2,43.2,91.6,27.3,6,175
GJ159,1134,324.5,70,50.5,76.3,35.9,21.5,177.3
GJ158-2,1135,322.5,36.3,57.7,53.3,47.9,44.2,176.4
GJ157,1136,320.5,52.8,31.8,58.1,20,32.6,196
GJ156,1137,318.5,48.6,25.9,53,15,35.5,201.9
GJ155-2,1138,316.5,37.8,33.5,45.3,24.6,44.7,201.3
GJ154,1139,314.5,85.3,57.9,88.9,42.3,13.1,167.5
GJ153,1140,312.5,79.1,51.5,83.5,36.2,15.5,173.8
GJ152,1141,310.5,57.5,34.5,62.7,21.8,29.1,192.4
GJ151,1142,308.5,62.2,44.4,68.8,30.9,26.4,183.9
GJ150,1143,306.5,59.5,39.7,65.6,26.6,27.9,188.1
GJ149,1144,304.5,53.1,42,60.7,29.9,33.1,188.6
GJ148,1145,302.5,64.9,41.5,70.5,27.7,24,185
GJ147,1146,300.5,37,38.3,46,29.4,45.5,197.3
GJ146-2,1147,298.5,18.8,41.7,31.5,36.9,59.9,200.7
GJ145,1148,296.5,53.6,29.1,58.2,17.2,31.7,197.5
GJ144-1,1149,294.5,40.3,31.1,46.8,21.7,42.6,202.2
GJ143,1150,291.2,41.9,25.3,46.7,15.8,40.9,205.9
GJ142,1151,289.2,26.6,45.9,39.9,39,53.4,192.4
GJ141,1152,287.2,35.8,28.7,40.8,20,47,207.8
GJ140,1153,285.2,17.5,38.2,26.8,32.9,62.5,210.1
GJ139,1154,283.2,50.6,32.4,54.9,21.3,35.6,197.2
GJ138,1155,281.2,37.9,31.9,43.4,22.8,45.7,203.9
GJ137,1156,279.2,64.9,29.8,67.3,17,23.9,192.4
GJ136,1157,277.2,14.6,42.1,25.5,37.2,65,206
GJ135,1158,274.1,37.5,44.7,46.3,35.3,46.9,192.3
GJ134,1159,271.1,40.8,27.3,45.1,17.7,42.8,205.9
GJ133,1160,269.1,54.6,33.5,58.7,21.8,32.5,194.6
GJ132,1161,267.1,48.7,41.5,55,30.4,38.1,191.3
GJ131,1162,265.1,37.3,33.3,43.2,24.2,46.3,203.1
GJ130,1163,263.1,44.1,27,48,16.9,40.2,204.3
GJ129,1164,259.7,12.7,41.4,23.6,37,66.5,208.4
GJ128,1165,257.7,12.4,14.8,15.6,11.4,60.9,244.9
GJ127,1166,255.7,29.1,43.9,38.8,36,53.5,196.3
GJ126,1167,253.7,1.5,61.7,25.4,58.3,67.7,159.9
GJ125,1168,251.7,43,44.8,51,34.5,42.7,190.3
GJ124,1169,249.7,62.2,35.3,65.6,22.7,26.9,190.3
GJ123,1170,247.7,37.8,49.5,48,39.9,46.7,187.1
GJ122-1,1171,245.7,74.3,38.3,76.5,24.7,18.1,183.7
GJ121,1172,243.7,40.6,40.5,47.8,30.7,44.3,195.2
GJ120,1173,241.7,40,33.5,45.6,24,44.2,201.5
GJ119,1174,239.7,58.9,36.3,62.9,24,29.5,191
GJ118,1175,237.7,38.5,33.9,44.4,24.6,45.4,201.9
GJ117,1176,235.7,66.3,41.7,70,28.7,24.7,184.7
GJ116,1177,233.7,38,26.6,42.3,17.5,45,208.2
GJ115,1178,231.7,11.8,32,19.6,28.2,66.1,225.3
GJ114,1179,229.7,57.8,28.8,60.7,16.7,29.4,196.3
GJ113,1180,227.7,75.4,57.8,79.2,44.1,21.6,170.3
GJ112,1181,225.7,33.1,31.5,39,23.2,49.4,207.1
GJ111,1182,223.7,48.8,28.1,52.6,17.3,36.5,200.9
GJ110,1183,221.7,20.2,34.3,28,28.6,60,213.3
GJ109,1184,219.7,69.7,41.1,72.8,27.8,22.1,183.8
GJ108-1,1185,218,27.6,45.3,38.1,37.6,54.6,195
GJ107,1186,216.3,49.6,13.9,51,3.1,33.6,209.4
GJ106,1187,213.5,338.3,34.3,348.3,38.4,76,329.7
GJ105,1188,209.5,35.5,40,43.3,31.1,48.3,197.8
GJ104-2,1189,207.5,37,18.1,39.7,9.5,44.5,215.1
GJ103-2,1190,205.5,28.1,34.5,35.2,27.1,53.8,207.4
GJ102,1191,203.5,46.7,46.6,54.5,35.7,40,187.5
GJ101-2,1192,201.5,17.7,44.4,29.1,38.8,62.5,200.3
GJ100,1193,199.5,36.3,35.4,42.8,26.5,47.3,201.7
GJ99,1194,197.5,42.3,35.8,46.1,22.4,43.4,202.2
GJ98,1195,195.5,41.6,23.3,43.7,10.1,41.6,211.4
GJ97,1196,193.5,45.5,25.7,47.6,12,39,207.3
GJ96,1197,191.5,53.6,21.5,54.8,7.1,31.7,204.8
GJ95,1198,189.5,45.3,17.4,46.5,3.8,37.4,212.4
GJ94,1199,187.5,33.3,39.5,39,27.1,50.7,204.2
GJ93,1200,185.5,46.4,39.2,50.1,25.3,40.8,197.6
GJ92,1201,183.5,47.9,26.3,49.8,12.4,37.4,205.5
GJ90,1202,181.5,29.3,43.2,36.4,31.4,54.2,202.6
GJ91,1203,181.5,79.7,48.3,77.9,33.4,19.4,178.1
GJ89,1204,178.5,16.9,43.8,26.2,34,63.4,209.4
GJ88,1205,176.5,62.4,50.6,64.3,35.7,31.6,182.8
GJ87,1206,175.1,38.3,39.9,43.4,27,47,200.9
GJ86,1207,172,46.5,32.7,49.3,18.9,39.7,202.2
GJ85,1208,170,42.8,34.5,46.3,21,42.8,203
GJ84,1209,168,43.1,31.1,46.2,17.7,41.9,205.1
GJ83,1210,167,51,26.8,52.8,12.5,34.9,203.4
GJ82,1211,165,53.7,23.6,55,9.2,32.2,203.6
GJ81,1212,163.5,54.4,38,56.8,23.5,34.6,194.7
GJ79,1213,161.5,42.1,58.2,49.4,48.6,47.6,176.9
GJ80,1214,161.5,35.8,28.4,39.2,15.9,47,211.8
GJ78,1215,159.5,35.7,37.8,40.1,29,50.3,201.8
GJ77,1216,157.5,20.7,29.1,24.9,22.4,60,222.7
GJ76,1217,155.5,42,50.7,47.7,41.2,47.3,185.9
GJ75,1218,153.5,36,46.1,41.8,37.3,51.3,193
GJ74,1219,151.5,31.1,32.8,35.1,24.6,53,209.5
GJ73,1220,149.5,46.1,27,48.2,17.3,40.1,203.9
GJ72,1221,147.5,227.6,-4.4,227.6,5.3,-33.7,35.9
GJ71,1222,143,182.7,-45.7,192.4,-41.5,-77,37.7
GJ70,1223,141,189.1,-54.2,201,-48.7,-71.8,6.7
GJ69,1224,139,210.3,-23.6,213,-15.6,-51.6,38
GJ68,1225,137,213.4,-28,216.5,-19.5,-50.3,31.9
GJ67,1226,135,208.9,-39.2,214.2,-31.2,-55.9,24.6
