Sample,Depth,RStrike,Dip,Demagnetization,n,MAD,Dg,Ig,Ds,Is,Plong,Plat,D*,I*,Plon*,Plat*,f
43H2,446.14,295,46,655-673,5,9.3,306.9,18.9,316.8,4.9,327.1,39.7,316.8,9.7,329.5,41.3,0.5
45A1,451.6,295,46,620-655,5,4.1,320.2,38.2,338.6,10.9,305.6,56.6,338.6,21.1,311.9,61,0.5
45A3,451.6,295,46,650-670,5,6.5,322.5,41.2,342,12,300.8,58.9,342,23,307.7,63.9,0.5
45C1,452.92,295,46,620-677,10,8.8,352.7,65.9,11.3,22.7,234.7,67.1,11.3,39.9,215,76.2,0.5
45C3,452.92,295,46,640-665,5,6.8,333,52,354.7,16,277,65.5,354.7,29.8,282.1,73.1,0.5
45D1,454.72,295,46,650-673,5,5.1,340,58.3,1.8,18.9,259.7,67.5,1.8,34.4,256.9,76.6,0.5
45E1,461.26,295,46,645-660,5,1.7,328.8,74,9,33.9,231.4,74.1,9,53.4,158.8,82.3,0.5
46A,461.62,294,44,655-673,5,3.8,273.4,69.7,356.2,48,311.3,85.5,356.2,65.8,75.1,73.9,0.5
46B,462.61,294,44,630-655,5,2.8,273.6,16.9,292.9,26.9,354.8,26.8,292.9,45.4,7.8,32.3,0.5
46D,464.34,294,44,620-665,5,10.8,279.4,38.7,317,35.8,347.2,49.7,317,55.3,12.3,54.5,0.5
46E2,465.07,294,44,650-673,5,4.6,317.3,48.9,344.6,20.1,300.8,63.9,344.6,36.2,316.8,71.7,0.5
46F2,465.69,294,44,645-670,5,7,285,42.4,323.6,34.1,340.8,54.7,323.6,53.6,8,59.6,0.5
46G1,466.44,294,44,650-670,5,14.9,315,27.5,328.1,5.9,316.6,48.2,328.1,11.7,319.7,50.3,0.5
47B,468.78,294,44,655-673,5,3.8,323.6,29,334.8,2,306.6,50.8,334.8,4,307.6,51.6,0.5
47C2,469.24,294,44,640-660,5,2.1,311.2,26.3,324.8,7.3,320.8,46.4,324.8,14.4,324.7,48.9,0.5
47F2,470.14,294,44,600-645,5,1.8,312.6,47.2,341,21.2,308.1,62.5,341,37.8,326,69.8,0.5
47K2,470.44,294,44,645-665,5,9.3,294.8,20.2,309.7,14,337.3,37,309.7,26.5,344.8,40.8,0.5
47N1,471.56,294,44,645-677,7,7.9,306.6,24.5,320.5,9,325.9,43.9,320.5,17.6,330.8,46.7,0.5
47P1,471.56,294,44,640-660,5,5.5,299.1,71.4,0.5,39.9,261.5,80.5,0.5,59.1,87.2,82.3,0.5
47Q1,472.28,294,44,630-655,5,1.8,320.7,53.1,349.4,21.6,291.6,66.8,349.4,38.4,308.6,75.8,0.5
48C2,474.68,294,44,645-665,5,7.1,332.1,35,344.2,2.5,293.1,55.7,344.2,5,294.1,56.8,0.5
48G2,478.2,294,44,660-673,4,6.1,286.5,45,326.9,34.5,338.4,57.5,326.9,54,8.3,62.4,0.5
49C2,478.84,294,44,645-677,9,11.1,343.7,46.1,357.5,7.2,269.5,61.3,357.5,14.2,270.2,64.9,0.5
49G2,482.37,294,44,640-665,7,11,291.1,44.3,328.3,31.3,333.8,57.5,328.3,50.6,1,63.1,0.5
49H2,481.64,294,44,630-650,5,4.4,338.7,37.6,350,1.7,283,57.3,350,3.4,283.5,58.1,0.5
49K2,483.79,294,44,645-665,5,7.2,310.8,48.3,341,22.9,309.3,63.2,341,40.2,330.1,70.8,0.5
50B2,484.2,314,50,650-670,5,2.7,311.1,56.5,2.4,33.9,254.7,76.2,2.4,53.4,132.6,87.3,0.5
50C1,484.2,314,50,640-660,5,4.1,259.5,72.2,26.7,53.4,162.5,67.6,26.7,69.6,118.5,61.5,0.5
50E2,485.56,314,50,630-655,5,7.1,359.1,46.8,15,5.6,235.6,57.4,15,11.1,233.4,59.9,0.5
50F3,487.47,314,50,650-670,5,9.7,288.9,62.5,7,46.1,210.5,82.3,7,64.3,103.5,75.1,0.5
50H1,488.5,314,50,650-670,5,8,326,38.7,351.3,16.1,284.8,64.7,351.3,30,292.5,72.1,0.5
50I2,489.68,314,50,650-673,5,4.7,334.5,35.2,353.3,8.7,278.4,61.5,353.3,17,280.6,65.7,0.5
50J2,490.54,314,50,660-677,5,7.1,316.6,39.3,347.3,22.3,296.7,66.3,347.3,39.4,316.2,75,0.5
50K1,491.56,314,50,655-677,7,9.5,352.5,49.5,12.9,10.3,237.5,60.4,12.9,20,232.9,65.1,0.5
50L2,492.12,314,50,645-665,5,9.2,350.7,49,11.6,10.7,239.8,61.1,11.6,20.7,235.3,66,0.5
51A,493.32,314,50,650-670,5,3.4,323.6,45.8,356.3,21.8,274.4,68.8,356.3,38.7,282.8,79.1,0.5
51C,497.38,314,50,655-673,5,6.5,320.2,31.1,342.1,15.1,302.3,60.4,342.1,28.4,312.1,66.4,0.5
52B2,500.58,310,42,600-645,6,9.8,117,-35.7,147.8,-33.7,156.7,-58,147.8,-53.1,186.2,-63,0.5
52B3,500.58,310,42,600-640,5,9.8,125.3,-37.8,154.7,-29.9,145.1,-61.9,154.7,-49,175.0,-68.3,0.5
53A1,503.81,310,42,650-670,5,2.3,332.3,45.1,355.9,20.3,275.1,68,355.9,36.5,282.4,77.6,0.5
53C,504.4,310,42,640-665,5,2.3,318.4,38.4,342.9,22.6,305.7,64.2,342.9,39.8,326.2,72.1,0.5
53F1,505.04,310,42,655-680,5,3.7,314.9,51.3,352,33,293.1,74.1,352,52.4,3.2,83.2,0.5
53G2,505.86,310,42,640-660,5,2.5,330.2,56.4,3.4,29.4,252.9,73.2,3.4,48.4,217.3,85.9,0.5
53J,507.39,310,42,630-655,5,1.7,345.5,55.4,9.8,23,238.1,67.9,9.8,40.3,218.6,77.3,0.5
53K2,508.04,310,42,650-665,5,2.7,297.3,59.6,355.1,45.7,305.6,83.4,355.1,64,70.1,76,0.5
53L2,508.42,310,42,655-673,5,1,302,50.3,345.4,39.1,320,73.6,345.4,58.4,28.6,76.3,0.5
53M,508.82,310,42,660-677,5,4.9,311.1,45.1,344.5,31.2,310.4,69.2,344.5,50.5,354.3,76.8,0.5
53P2,509.27,310,42,630-660,6,9.5,316.4,50.5,352,31.7,291.9,73.3,352,51,352.2,83.2,0.5
53Q1,509.59,310,42,650-670,5,6.9,306.8,34.5,332.8,26.8,324.6,59.3,332.8,45.3,348.5,65.8,0.5
54A1,510.07,308,35,640-660,5,6,318.2,31.2,334.6,19.7,316.7,57.8,334.6,35.6,331.7,64.1,0.5
54B,511.16,308,35,655-673,5,6.6,306.6,52.6,344.2,41.3,326.9,73.7,344.2,60.4,34.7,74.4,0.5
54C,511.16,308,35,650-670,5,2,326.7,50,353,30.6,287.9,73,353,49.8,341.3,83.8,0.5
54D2,511.71,308,35,650-665,5,1.6,316.6,52.5,349.3,36.7,306,74.8,349.3,56.2,24.6,80.1,0.5
54E,512.58,308,35,660-680,5,4.7,324.4,42.9,346.5,26.1,301.2,67.8,346.5,44.4,330.3,76.7,0.5
54F,512.58,308,35,650-670,5,3.9,328.9,47.5,352.5,27.8,287.5,71.3,352.5,46.5,322,82.1,0.5
54G1,513.35,308,35,650-670,5,7.7,315.1,64.6,0.9,45.2,255.9,84.5,0.9,63.6,87.1,77,0.5
54H2,513.35,308,35,650-677,7,8.5,341.1,60.3,8,33.8,234.6,74.5,8,53.3,158.3,83.1,0.5
54J2,514,308,35,665-680,5,4,331.8,57.5,1.4,34.5,258.5,76.7,1.4,54,110.5,87.4,0.5
54L2,515.04,308,35,650-673,5,8.9,356.2,58.2,14.5,28,223.6,68.2,14.5,46.8,188.9,76.8,0.5
55B1,515.8,308,35,650-670,5,1.5,333.2,60.7,4.6,36.5,244.1,77.4,4.6,56,124.1,84.2,0.5
55C1,517.12,308,35,640-660,5,2.3,326.3,56.1,357.5,35.4,275,77.2,357.5,54.9,52.2,86.2,0.5
55D1,517.54,308,35,650-670,5,1.8,334.5,52.1,358.9,29.3,268,73.4,358.9,48.3,282.6,87,0.5
55E1,518.09,308,35,640-660,5,3.8,301.6,67.2,0.1,51.3,244.2,89.8,0.1,68.2,84.5,70.9,0.5
55H1,520.73,308,35,650-673,5,5.2,352.9,67.3,18,36.8,205.9,70.1,18,56.3,151.9,74.5,0.5
56D1,525.52,308,35,620-645,4,1.8,287,49.1,329.5,48.9,357.2,63.8,329.5,66.4,39.4,61.8,0.5
56F2,525.84,308,35,650-665,5,9.7,278.5,28,301.5,39.3,358.9,37.7,301.5,58.6,20.2,42.8,0.5
