Sample,Depth,RStrike,Dip,Demagnetization,n,MAD,Dg,Ig,Ds,Is,Plong,Plat,D*,I*,Plon*,Plat*,f
121F1,1029.05,282,34,645-670,5,3.4,149.5,-38,159.2,-10.7,124.6,-56.9,159.2,-25.3,134.3,-63.2,0.4
121K1,1034.48,282,34,620-660,3,9.2,145.6,-36.6,155.7,-10.6,129.7,-54.8,155.7,-25.1,139.4,-60.7,0.4
122A,1037.19,310,22,655-675,5,4.6,146.9,-25.4,155.1,-17.4,134.5,-57.2,155.1,-38.1,154.5,-65.4,0.4
122B,1040.94,310,22,650-670,5,3.2,150.3,-19.8,156,-11.1,129.5,-55.2,156,-26.1,139.8,-61.4,0.4
123C,1044.07,310,22,640-665,5,2.6,156.2,-23.9,162.7,-13,120.2,-59.7,162.7,-30,132.6,-67.5,0.4
123D2,1044.13,310,22,650-670,5,1.5,133.8,-19.2,140.9,-16.3,149.6,-46.6,140.9,-36.2,164.9,-53.1,0.4
123E,1044.77,310,22,650-675,5,1.8,179.2,-17.8,181.5,-0.8,81.5,-58.2,181.5,-2,81.4,-58.8,0.4
124E1,1045.78,310,22,640-677,8,9.7,155.4,-29.5,164,-18.5,120.9,-62.9,164,-39.9,144.4,-72.9,0.4
124F2,1046.43,310,22,650-670,5,1.7,147.3,-22.3,154.2,-14.4,133.8,-55.4,154.2,-32.7,148.7,-62.7,0.4
124G1,1046.84,310,22,640-660,5,1.4,152.2,-32.7,162.5,-22.5,126.4,-63.9,162.5,-46,161.2,-74.1,0.4
124H1,1046.99,310,22,630-655,5,0.9,152.5,-27.6,160.8,-17.6,126,-60.8,160.8,-38.4,147.3,-69.9,0.4
124I2,1047.32,310,22,650-675,5,3.6,135.9,-49.9,158.5,-43.2,159.3,-69.9,158.5,-66.9,227.8,-66.4,0.4
124K1,1047.89,310,22,660-680,5,2.3,136.2,-14.3,141.1,-11,146.4,-45,141.1,-25.9,155.9,-50,0.4
124L1,1048.37,310,22,640-660,5,2.9,145.3,-12.4,148.7,-5.9,135.9,-48.6,148.7,-14.5,140.6,-51.8,0.4
124M1,1049.51,310,22,645-673,7,10,160.6,-17.4,164.4,-5.5,113.9,-57.1,164.4,-13.5,117.5,-60.8,0.4
125D1,1057.64,310,22,650-670,5,3.4,172.3,-36.5,179.7,-13.1,85,-64.4,179.7,-30.2,85.3,-74,0.4
125E1,1057.86,310,22,600-645,5,1.5,192,-37.9,195.6,-11,52.3,-59.6,195.6,-25.9,43.2,-66.6,0.4
127A1,1063.16,335,11,655-677,5,12.3,161.4,-29,167.2,-27.2,120.5,-68.7,167.2,-52.1,180.4,-79.2,0.4
127B1,1063.58,335,11,645-665,5,5.6,174,-24.4,178.3,-20.4,88.8,-68.3,178.3,-42.9,96.3,-82.6,0.4
127B2,1063.58,335,11,655-673,5,4.9,180.7,-21.6,184.1,-16.5,74.3,-65.9,184.1,-36.5,66.2,-77.6,0.4
127C,1064.13,335,11,655-675,5,3.4,186.9,-31.6,191.8,-25.3,51.9,-68.2,191.8,-49.8,0.1,-79.8,0.4
127D2,1066.6,335,11,650-673,5,7.8,166.6,-24.3,171.2,-21.6,107.4,-67.5,171.2,-44.7,139.1,-80.3,0.4
128A2,1067.01,335,11,650-673,5,0.7,150.7,-27.3,156.4,-27.6,140.6,-62.2,156.4,-52.6,183.5,-70.2,0.4
128B2,1067.63,335,11,640-660,5,1,155.4,-16.5,158.7,-16.1,128.4,-58.9,158.7,-35.8,146.5,-67.3,0.4
128C,1069.96,335,11,650-670,5,0.9,162.3,-24.9,167.2,-23.1,117.5,-66.7,167.2,-46.8,157,-78.2,0.4
128D2,1072.13,335,11,650-673,5,2.2,173.9,-17.8,176.9,-14,91.5,-64.7,176.9,-31.9,95.7,-74.8,0.4
129C2,1075.06,335,11,655-680,6,1.9,158.4,-11.9,163.9,-8.6,116.1,-58.3,163.9,-20.7,122.5,-63.9,0.4
130C,1079,30,28,600-645,5,1.9,212.7,-26.7,225.5,-22.1,10.1,-43.4,225.5,-45.4,349.8,-50.4,0.4
130H,1083.1,30,28,655-673,5,9.4,155.1,-5.4,160.3,-27.7,134.6,-64.9,160.3,-52.7,183.4,-73.4,0.4
130J1,1084.34,30,28,655-677,5,1.8,193.9,-11.2,201,-17.4,39.8,-59.7,201,-38.1,19.1,-68.4,0.4
130M1,1086.07,30,28,640-660,5,2.5,171.3,-8.3,178.2,-24.7,89.6,-70.7,178.2,-49,118.7,-87.2,0.4
130N1,1087.43,30,28,600-645,5,1.2,144.2,-6.1,148.5,-31.3,153.6,-57.7,148.5,-56.7,194.3,-63.7,0.4
130P,1088.05,30,28,600-645,5,2.2,144.8,-16.5,152.3,-41.3,162.1,-64.2,152.3,-65.5,218.8,-64,0.4
130R2,1090.53,30,28,650-670,5,2.3,164.7,7.3,165.6,-12.6,114.8,-60.9,165.6,-29.2,125.9,-68.9,0.4
131C1,1094.24,30,28,640-655,5,3.6,150.7,-27.6,164.8,-50.1,172.5,-77,164.8,-71.5,245,-63.8,0.4
131D1,1095.74,30,28,640-660,5,1.2,152.7,-17.6,162.3,-40.1,147.8,-71.8,162.3,-64.6,225.9,-70.3,0.4
131D2,1095.74,30,28,645-660,5,2.4,150.7,-24.4,163.1,-47.1,163.7,-74.9,163.1,-69.6,239.5,-65.6,0.4
